instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, prop_10, warm_start, prop_8, num_prop_8_inequalties_added, prop_8_comp_time, y_val_fix, relax, fractional_callback, total_time
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 2604.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, False, False, True, 9664, 0.51, False, False, False, 1200.01
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2020.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, False, False, True, 45995, 1.3, False, False, False, 310.03
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, False, False, False, True, 42459, 2.44, False, False, False, 762.41
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, False, False, False, True, 34924, 2.58, False, False, False, 990.61
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 55105.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, False, False, False, True, 745, 0.01, False, False, False, 273.13
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 3938.0, 60920, 947, 1180.0, 1468.0, NA, NA, 0, 0, 0, False, False, False, True, 4630, 0.05, False, False, False, 3348.18
