instance_name, model_type, n, m, k, b, r, BBnodes, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 30082.0, 27764, 19644, 7008, 7583.0, 7615.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3604.77
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 8696.0, 27306, 19221, 6985, 7647.0, 7731.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3606.11
