instance_name, model_type, k, b, r, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time
facebook_combined, naive, 17, 250, NA, 8078, 0, 2546.0, 2546.0, NA, NA, 0, 2, 0.18949580192565918
facebook_combined, strong, 17, 250, NA, 3956, 2061, 2546.0, 2546.0, NA, NA, 0, 2, 0.12267827987670898
