instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, y_continuous, additonal_facet_defining, y_val_fix, fractional_callback, total_time
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2536.0, 2536.0, NA, NA, 0, 0, 0, False, False, False, True, 1.2206766605377197
CA-CondMat, reduced_model, 4, 250, NA, 46266, 35418, 13464, 13997.0, 13997.0, NA, NA, 0, 0, 0, False, False, False, True, 3.757023572921753
CA-HepPh, reduced_model, 4, 250, NA, 24016, 17965, 6591, 7007.0, 7007.0, NA, NA, 0, 0, 0, False, False, False, True, 1.4805614948272705
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 90569, 34706, 35278.0, 35281.0, NA, NA, 0, 0, 0, False, False, False, True, 14.516003608703613
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19644, 7008, 7648.0, 7720.0, NA, NA, 0, 0, 0, False, False, False, True, 3605.768226146698
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19221, 6985, 7737.0, 7850.0, NA, NA, 0, 0, 0, False, False, False, True, 3601.89270567894
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 292745, 106417, 108653.0, 108653.0, NA, NA, 0, 0, 0, False, False, False, True, 175.08535861968994
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 510101, 204031, 205957.0, 205957.0, NA, NA, 0, 0, 0, False, False, False, True, 393.37377095222473
soc-catster.e, reduced_model, 21, 250, NA, 299400, 226642, 78945, 79636.0, 79641.0, NA, NA, 0, 0, 0, False, False, False, True, 158.26923322677612
facebook_combined, reduced_model, 17, 250, NA, 8078, 5599, 2061, 2539.0, 2539.0, 2307, 0.014929056167602539, 0, 0, 0, True, True, True, True, 121.61080193519592
CA-CondMat, reduced_model, 4, 250, NA, 46266, 36988, 13464, 13997.0, 13997.0, 2804, 0.04132533073425293, 0, 0, 0, True, True, True, True, 145.90607357025146
CA-HepPh, reduced_model, 4, 250, NA, 24016, 18704, 6591, 7007.0, 7007.0, 1282, 0.02252793312072754, 0, 0, 0, True, True, True, True, 988.3058667182922
Brightkite_edges, reduced_model, 2, 250, NA, 116456, 91293, 34706, 35281.0, 35281.0, 362, 0.07604694366455078, 0, 0, 0, True, True, True, True, 22.96584463119507
socfb-Northeastern19, reduced_model, 33, 250, NA, 27764, 19883, 7008, 7652.0, 7756.0, 8719, 0.07474040985107422, 0, 0, 0, True, True, True, True, 3611.024334669113
socfb-Syracuse56, reduced_model, 46, 250, NA, 27306, 19426, 6985, 7544.0, 7892.0, 13753, 0.17579293251037598, 0, 0, 0, True, True, True, True, 3623.206199169159
Gowalla_edges, reduced_model, 3, 250, NA, 393182, 296649, 106417, 107918.0, 107922.93055555556, 5884, 0.32767581939697266, 0, 0, 0, True, True, True, True, 338.01329040527344
com-dblp.ungraph, reduced_model, 3, 250, NA, 634160, 511946, 204031, 205502.0, 205502.0, 12906, 0.44636011123657227, 0, 0, 0, True, True, True, True, 624.8094925880432
soc-catster.e, reduced_model, 21, 250, NA, 299400, 229939, 78945, 79635.0, 79641.0, 15527, 0.6222183704376221, 0, 0, 0, True, True, True, True, 437.458771944046
