instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes1501-3, 150,570,1,300,150.0,150.0,0.0335383415222168,none,150,150,0.16295433044433594
erdos_renyi_nodes1501-4, 150,570,1,300,150.0,150.0,0.02999114990234375,none,150,150,0.14754652976989746
erdos_renyi_nodes1501-5, 150,570,1,300,150.0,150.0,0.028992176055908203,none,150,150,0.14950871467590332
erdos_renyi_nodes1502-3, 150,570,1,300,149.0,149.0,0.03299069404602051,2,149.0,149.0,0.13996052742004395
erdos_renyi_nodes1502-4, 150,570,1,300,149.0,149.0,0.028991222381591797,2,149.0,149.0,0.11107039451599121
erdos_renyi_nodes1502-5, 150,570,1,300,149.0,149.0,0.029993295669555664,2,149.0,149.0,0.1179656982421875
erdos_renyi_nodes1503-3, 150,570,1,300,148.0,148.0,0.036966800689697266,4,148.0,148.0,0.13196277618408203
erdos_renyi_nodes1503-4, 150,570,1,300,148.0,148.0,0.03599071502685547,4,148.0,148.0,0.12696361541748047
erdos_renyi_nodes1503-5, 150,570,1,300,148.0,148.0,0.029495954513549805,4,148.0,148.0,0.11696743965148926
erdos_renyi_nodes1504-3, 150,570,1,300,141.0,141.0,0.02799224853515625,22,139.0,139.0,0.10747528076171875
erdos_renyi_nodes1504-4, 150,570,1,300,141.0,141.0,0.02799201011657715,22,139.0,139.0,0.12496566772460938
erdos_renyi_nodes1504-5, 150,570,1,300,141.0,141.0,0.03498983383178711,22,139.0,139.0,0.12996315956115723
erdos_renyi_nodes1505-3, 150,570,1,300,124.0,124.0,0.03898930549621582,60,120.0,120.0,0.12296485900878906
erdos_renyi_nodes1505-4, 150,570,1,300,125.0,125.0,0.03698921203613281,60,120.0,120.0,0.1116020679473877
erdos_renyi_nodes1505-5, 150,570,1,300,126.0,126.0,0.025992631912231445,60,120.0,120.0,0.12096548080444336
erdos_renyi_nodes3001-3, 300,1196,1,600,300.0,300.0,0.05398392677307129,none,300,300,0.6008310317993164
erdos_renyi_nodes3001-4, 300,1196,1,600,300.0,300.0,0.05759835243225098,none,300,300,0.6448173522949219
erdos_renyi_nodes3001-5, 300,1196,1,600,300.0,300.0,0.06898045539855957,none,300,300,0.6745419502258301
erdos_renyi_nodes3002-3, 300,1196,1,600,299.0,299.0,0.056983232498168945,2,299.0,299.0,0.5960373878479004
erdos_renyi_nodes3002-4, 300,1196,1,600,299.0,299.0,0.06976819038391113,2,299.0,299.0,0.4384453296661377
erdos_renyi_nodes3002-5, 300,1196,1,600,299.0,299.0,0.054985761642456055,2,299.0,299.0,0.5330660343170166
erdos_renyi_nodes3003-3, 300,1196,1,600,295.0,295.0,0.0956425666809082,10,295.0,295.0,0.5218737125396729
