instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes1501-3, 150,570,0,300,150.0,150.0,0.031992197036743164,0,-0.0,-0.0,0.021017789840698242
erdos_renyi_nodes1501-4, 150,570,0,300,150.0,150.0,0.025992870330810547,0,-0.0,-0.0,0.02099156379699707
erdos_renyi_nodes1501-5, 150,570,0,300,150.0,150.0,0.038988590240478516,0,-0.0,-0.0,0.019994497299194336
erdos_renyi_nodes1502-3, 150,570,0,300,149.0,149.0,0.025992870330810547,2,-0.0,-0.0,0.021038055419921875
erdos_renyi_nodes1502-4, 150,570,0,300,149.0,149.0,0.025992631912231445,2,-0.0,-0.0,0.020994186401367188
erdos_renyi_nodes1502-5, 150,570,0,300,149.0,149.0,0.025992393493652344,2,-0.0,-0.0,0.020994186401367188
erdos_renyi_nodes1503-3, 150,570,0,300,148.0,148.0,0.026992321014404297,4,-0.0,-0.0,0.02199268341064453
erdos_renyi_nodes1503-4, 150,570,0,300,148.0,148.0,0.025992870330810547,4,-0.0,-0.0,0.020998477935791016
erdos_renyi_nodes1503-5, 150,570,0,300,148.0,148.0,0.025992155075073242,4,-0.0,-0.0,0.02099466323852539
erdos_renyi_nodes1504-3, 150,570,0,300,141.0,141.0,0.025992393493652344,22,-0.0,-0.0,0.02299189567565918
erdos_renyi_nodes1504-4, 150,570,0,300,141.0,141.0,0.025994062423706055,22,-0.0,-0.0,0.023991107940673828
erdos_renyi_nodes1504-5, 150,570,0,300,141.0,141.0,0.026992321014404297,22,-0.0,-0.0,0.022993803024291992
erdos_renyi_nodes1505-3, 150,570,0,300,124.0,124.0,0.03399252891540527,60,-0.0,-0.0,0.024991989135742188
erdos_renyi_nodes1505-4, 150,570,0,300,125.0,125.0,0.03199028968811035,60,-0.0,-0.0,0.0249936580657959
erdos_renyi_nodes1505-5, 150,570,0,300,126.0,126.0,0.025991439819335938,60,-0.0,-0.0,0.024992942810058594
erdos_renyi_nodes3001-3, 300,1196,0,600,300.0,300.0,0.052985191345214844,0,-0.0,-0.0,0.04698801040649414
erdos_renyi_nodes3001-4, 300,1196,0,600,300.0,300.0,0.05198526382446289,0,-0.0,-0.0,0.04699969291687012
erdos_renyi_nodes3001-5, 300,1196,0,600,300.0,300.0,0.051978349685668945,0,-0.0,-0.0,0.04698681831359863
erdos_renyi_nodes3002-3, 300,1196,0,600,299.0,299.0,0.052983760833740234,2,-0.0,-0.0,0.04798746109008789
erdos_renyi_nodes3002-4, 300,1196,0,600,299.0,299.0,0.052983760833740234,2,-0.0,-0.0,0.04598808288574219
erdos_renyi_nodes3002-5, 300,1196,0,600,299.0,299.0,0.05198478698730469,2,-0.0,-0.0,0.046987295150756836
erdos_renyi_nodes3003-3, 300,1196,0,600,295.0,295.0,0.05199170112609863,10,-0.0,-0.0,0.048978567123413086
erdos_renyi_nodes3003-4, 300,1196,0,600,295.0,295.0,0.05198526382446289,10,-0.0,-0.0,0.04798746109008789
erdos_renyi_nodes3003-5, 300,1196,0,600,295.0,295.0,0.05198526382446289,10,-0.0,-0.0,0.047986507415771484
erdos_renyi_nodes3004-3, 300,1196,0,600,282.0,282.0,0.05098462104797363,44,-0.0,-0.0,0.05198502540588379
erdos_renyi_nodes3004-4, 300,1196,0,600,282.0,282.0,0.04898500442504883,44,-0.0,-0.0,0.05218625068664551
erdos_renyi_nodes3004-5, 300,1196,0,600,282.0,282.0,0.049985647201538086,44,-0.0,-0.0,0.052983999252319336
erdos_renyi_nodes3005-3, 300,1196,0,600,260.0,260.0,0.05898427963256836,94,-0.0,-0.0,0.056983232498168945
erdos_renyi_nodes3005-4, 300,1196,0,600,261.0,261.0,0.058095455169677734,94,-0.0,-0.0,0.05701923370361328
erdos_renyi_nodes3005-5, 300,1196,0,600,262.0,262.0,0.05705451965332031,94,-0.0,-0.0,0.05698347091674805
generated_graph1-3, 20,38,0,40,20.0,20.0,0.004998683929443359,0,-0.0,-0.0,0.0030007362365722656
generated_graph1-4, 20,38,0,40,20.0,20.0,0.005997896194458008,0,-0.0,-0.0,0.002998828887939453
generated_graph1-5, 20,38,0,40,20.0,20.0,0.0059986114501953125,0,-0.0,-0.0,0.002001047134399414
generated_graph2-3, 20,38,0,40,19.0,19.0,0.00499725341796875,2,-0.0,-0.0,0.002998828887939453
