instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes1501-3, 150,570,1,300,150.0,150.0,0.03699016571044922,0,1.0,1.0,0.005997896194458008
erdos_renyi_nodes1501-4, 150,570,1,300,150.0,150.0,0.026993274688720703,0,1.0,1.0,0.0059967041015625
erdos_renyi_nodes1501-5, 150,570,1,300,150.0,150.0,0.026991605758666992,0,1.0,1.0,0.018993616104125977
erdos_renyi_nodes1502-3, 150,570,1,300,149.0,149.0,0.026993274688720703,2,1.0,1.0,0.005998373031616211
erdos_renyi_nodes1502-4, 150,570,1,300,149.0,149.0,0.031991004943847656,2,1.0,1.0,0.004998445510864258
erdos_renyi_nodes1502-5, 150,570,1,300,149.0,149.0,0.026977062225341797,2,1.0,1.0,0.005999088287353516
erdos_renyi_nodes1503-3, 150,570,1,300,148.0,148.0,0.02599358558654785,4,1.0,1.0,0.0059986114501953125
erdos_renyi_nodes1503-4, 150,570,1,300,148.0,148.0,0.025992631912231445,4,1.0,1.0,0.005998373031616211
erdos_renyi_nodes1503-5, 150,570,1,300,148.0,148.0,0.025992631912231445,4,1.0,1.0,0.005998373031616211
erdos_renyi_nodes1504-3, 150,570,1,300,141.0,141.0,0.025993824005126953,22,3.0,3.0,0.006997823715209961
erdos_renyi_nodes1504-4, 150,570,1,300,141.0,141.0,0.024992704391479492,22,3.0,3.0,0.007998466491699219
erdos_renyi_nodes1504-5, 150,570,1,300,141.0,141.0,0.024993181228637695,22,3.0,3.0,0.006997823715209961
erdos_renyi_nodes1505-3, 150,570,1,300,124.0,124.0,0.03298830986022949,60,8.0,8.0,0.010998725891113281
erdos_renyi_nodes1505-4, 150,570,1,300,125.0,125.0,0.030990123748779297,60,8.0,8.0,0.010998010635375977
erdos_renyi_nodes1505-5, 150,570,1,300,126.0,126.0,0.0249936580657959,60,8.0,8.0,0.011015653610229492
erdos_renyi_nodes3001-3, 300,1196,1,600,300.0,300.0,0.051987409591674805,0,1.0,1.0,0.010995626449584961
erdos_renyi_nodes3001-4, 300,1196,1,600,300.0,300.0,0.05077004432678223,0,1.0,1.0,0.009992361068725586
erdos_renyi_nodes3001-5, 300,1196,1,600,300.0,300.0,0.05300593376159668,0,1.0,1.0,0.010009527206420898
erdos_renyi_nodes3002-3, 300,1196,1,600,299.0,299.0,0.05099821090698242,2,1.0,1.0,0.010993480682373047
erdos_renyi_nodes3002-4, 300,1196,1,600,299.0,299.0,0.055989742279052734,2,1.0,1.0,0.010996818542480469
erdos_renyi_nodes3002-5, 300,1196,1,600,299.0,299.0,0.05740165710449219,2,1.0,1.0,0.011194467544555664
erdos_renyi_nodes3003-3, 300,1196,1,600,295.0,295.0,0.051984310150146484,10,1.0,1.0,0.011998176574707031
erdos_renyi_nodes3003-4, 300,1196,1,600,295.0,295.0,0.05133366584777832,10,1.0,1.0,0.011992931365966797
erdos_renyi_nodes3003-5, 300,1196,1,600,295.0,295.0,0.050985097885131836,10,1.0,1.0,0.011997461318969727
