instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes1005-5, 100,374,1,200,85.0,85.0,0.021993637084960938,42,84.0,84.0,0.06998538970947266
erdos_renyi_nodes1505-5, 150,651,1,300,136.0,136.0,0.026992321014404297,32,139.0,139.0,0.1429576873779297
erdos_renyi_nodes2005-5, 200,822,1,400,182.0,182.0,0.03399038314819336,44,183.0,183.0,0.24493050575256348
erdos_renyi_nodes2505-5, 250,981,1,500,216.0,216.0,0.04998612403869629,82,214.0,214.0,0.37690043449401855
erdos_renyi_nodes3005-5, 300,1274,1,600,280.0,280.0,0.05100274085998535,40,285.0,285.0,0.5048229694366455
erdos_renyi_nodes3505-5, 350,1387,1,700,321.0,321.0,0.05798459053039551,68,321.0,321.0,0.690805196762085
erdos_renyi_nodes4005-5, 400,1512,1,800,344.0,344.0,0.08597588539123535,134,338.0,338.0,0.9617283344268799
erdos_renyi_nodes4505-5, 450,1878,1,900,420.0,420.0,0.07597851753234863,68,421.0,421.0,1.1936604976654053
erdos_renyi_nodes505-5, 50,178,1,100,43.0,43.0,0.009997129440307617,20,45.0,45.0,0.019994497299194336
erdos_renyi_nodes5005-5, 500,1992,1,1000,451.0,451.0,0.08097672462463379,112,450.0,450.0,1.4755830764770508
erdos_renyi_nodes5505-5, 550,2178,1,1100,499.0,499.0,0.1159672737121582,124,493.0,493.0,1.7917976379394531
erdos_renyi_nodes6005-5, 600,2352,1,1200,514.0,514.0,0.1299421787261963,200,506.0,506.0,2.3090152740478516
erdos_renyi_nodes6505-5, 650,2606,1,1300,583.0,583.0,0.15796446800231934,146,582.0,582.0,2.656085968017578
erdos_renyi_nodes7005-5, 700,2875,1,1400,632.0,632.0,0.17002534866333008,160,625.0,625.0,3.027946949005127
