instance, k, b, olak, olak time, total_time
facebook_combined.txt, 20, 250, 83, 112.04, 
CA-HepPh.txt, 20, 250, 21, 151.21, 
socfb-Syracuse56.mtx, 20, 250, 90, 1098.6, 
