instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes1501-3, 150,570,0,300,150.0,150.0,0.0309906005859375,300,150.0,150.0,0.027993202209472656
erdos_renyi_nodes1501-4, 150,570,0,300,150.0,150.0,0.026992321014404297,300,150.0,150.0,0.02803516387939453
erdos_renyi_nodes1501-5, 150,570,0,300,150.0,150.0,0.04299521446228027,300,150.0,150.0,0.027936458587646484
erdos_renyi_nodes1502-3, 150,570,0,300,149.0,149.0,0.026990652084350586,300,149.0,149.0,0.02899336814880371
erdos_renyi_nodes1502-4, 150,570,0,300,149.0,149.0,0.027991771697998047,300,149.0,149.0,0.02799248695373535
erdos_renyi_nodes1502-5, 150,570,0,300,149.0,149.0,0.0269925594329834,300,149.0,149.0,0.02799081802368164
erdos_renyi_nodes1503-3, 150,570,0,300,148.0,148.0,0.026992321014404297,300,148.0,148.0,0.02799201011657715
erdos_renyi_nodes1503-4, 150,570,0,300,148.0,148.0,0.026993989944458008,300,148.0,148.0,0.0289914608001709
erdos_renyi_nodes1503-5, 150,570,0,300,148.0,148.0,0.035989999771118164,300,148.0,148.0,0.03299069404602051
erdos_renyi_nodes1504-3, 150,570,0,300,141.0,141.0,0.028992414474487305,300,141.0,141.0,0.029991626739501953
erdos_renyi_nodes1504-4, 150,570,0,300,141.0,141.0,0.026992321014404297,300,141.0,141.0,0.029991626739501953
erdos_renyi_nodes1504-5, 150,570,0,300,141.0,141.0,0.025992393493652344,300,141.0,141.0,0.029990434646606445
erdos_renyi_nodes1505-3, 150,570,0,300,124.0,124.0,0.03499007225036621,300,124.0,124.0,0.04299330711364746
erdos_renyi_nodes1505-4, 150,570,0,300,125.0,125.0,0.03299117088317871,300,125.0,125.0,0.04098677635192871
erdos_renyi_nodes1505-5, 150,570,0,300,126.0,126.0,0.025992393493652344,300,126.0,126.0,0.03099226951599121
erdos_renyi_nodes3001-3, 300,1196,0,600,300.0,300.0,0.05198383331298828,600,300.0,300.0,0.06198239326477051
erdos_renyi_nodes3001-4, 300,1196,0,600,300.0,300.0,0.06298208236694336,600,300.0,300.0,0.05898475646972656
erdos_renyi_nodes3001-5, 300,1196,0,600,300.0,300.0,0.05198478698730469,600,300.0,300.0,0.06298279762268066
erdos_renyi_nodes3002-3, 300,1196,0,600,299.0,299.0,0.05498552322387695,600,299.0,299.0,0.06297969818115234
erdos_renyi_nodes3002-4, 300,1196,0,600,299.0,299.0,0.05698347091674805,600,299.0,299.0,0.06498217582702637
erdos_renyi_nodes3002-5, 300,1196,0,600,299.0,299.0,0.05498385429382324,600,299.0,299.0,0.0579838752746582
erdos_renyi_nodes3003-3, 300,1196,0,600,295.0,295.0,0.05098557472229004,600,295.0,295.0,0.05889153480529785
erdos_renyi_nodes3003-4, 300,1196,0,600,295.0,295.0,0.0529932975769043,600,295.0,295.0,0.05980420112609863
erdos_renyi_nodes3003-5, 300,1196,0,600,295.0,295.0,0.051985979080200195,600,295.0,295.0,0.0619816780090332
erdos_renyi_nodes3004-3, 300,1196,0,600,282.0,282.0,0.05098533630371094,600,282.0,282.0,0.06698107719421387
erdos_renyi_nodes3004-4, 300,1196,0,600,282.0,282.0,0.0519862174987793,600,282.0,282.0,0.06498169898986816
erdos_renyi_nodes3004-5, 300,1196,0,600,282.0,282.0,0.05098605155944824,600,282.0,282.0,0.06598067283630371
erdos_renyi_nodes3005-3, 300,1196,0,600,260.0,260.0,0.06298422813415527,600,260.0,260.0,0.08997082710266113
erdos_renyi_nodes3005-4, 300,1196,0,600,261.0,261.0,0.06998085975646973,600,261.0,261.0,0.09197354316711426
erdos_renyi_nodes3005-5, 300,1196,0,600,262.0,262.0,0.056984901428222656,600,262.0,262.0,0.07597851753234863
generated_graph1-3, 20,38,0,40,20.0,20.0,0.005998373031616211,40,20.0,20.0,0.003998994827270508
generated_graph1-4, 20,38,0,40,20.0,20.0,0.003998756408691406,40,20.0,20.0,0.003999233245849609
generated_graph1-5, 20,38,0,40,20.0,20.0,0.003998756408691406,40,20.0,20.0,0.004996299743652344
generated_graph2-3, 20,38,0,40,19.0,19.0,0.0049974918365478516,40,19.0,19.0,0.004999876022338867
generated_graph2-4, 20,38,0,40,19.0,19.0,0.0050048828125,40,19.0,19.0,0.0049915313720703125
generated_graph2-5, 20,38,0,40,19.0,19.0,0.004997730255126953,40,19.0,19.0,0.004999399185180664
generated_graph3-3, 20,38,0,40,15.0,15.0,0.004998445510864258,40,15.0,15.0,0.005000591278076172
generated_graph3-4, 20,38,0,40,15.0,15.0,0.004996061325073242,40,15.0,15.0,0.004999876022338867
generated_graph3-5, 20,38,0,40,15.0,15.0,0.003996610641479492,40,15.0,15.0,0.0049991607666015625
generated_graph4-3, 20,38,0,40,3.0,3.0,0.016993999481201172,40,3.0,3.0,0.01802515983581543
generated_graph4-4, 20,38,0,40,11.0,11.0,0.006967782974243164,40,11.0,11.0,0.006999492645263672
generated_graph4-5, 20,38,0,40,12.0,12.0,0.0049970149993896484,40,12.0,12.0,0.0039980411529541016
generated_graph5-3, 20,38,0,40,-0.0,-0.0,0.004998683929443359,40,-0.0,-0.0,0.005998134613037109
generated_graph5-4, 20,38,0,40,-0.0,-0.0,0.005997419357299805,40,-0.0,-0.0,0.00799870491027832
generated_graph5-5, 20,38,0,40,1.0,1.0,0.0069980621337890625,40,1.0,1.0,0.009996891021728516
generated_graph21-3, 4,4,0,8,4.0,4.0,0.003997802734375,8,4.0,4.0,0.003998756408691406
generated_graph21-4, 4,4,0,8,4.0,4.0,0.0019998550415039062,8,4.0,4.0,0.001999378204345703
generated_graph21-5, 4,4,0,8,4.0,4.0,0.0019974708557128906,8,4.0,4.0,0.0010008811950683594
generated_graph22-3, 4,4,0,8,4.0,4.0,0.0029990673065185547,8,4.0,4.0,0.0019974708557128906
generated_graph22-4, 4,4,0,8,4.0,4.0,0.0019996166229248047,8,4.0,4.0,0.001007080078125
generated_graph22-5, 4,4,0,8,4.0,4.0,0.0019936561584472656,8,4.0,4.0,0.0019981861114501953
generated_graph23-3, 4,4,0,8,-0.0,-0.0,0.001999378204345703,8,-0.0,-0.0,0.00099945068359375
generated_graph23-4, 4,4,0,8,-0.0,-0.0,0.0009999275207519531,8,-0.0,-0.0,0.0009996891021728516
generated_graph23-5, 4,4,0,8,-0.0,-0.0,0.0010001659393310547,8,-0.0,-0.0,0.0009992122650146484
generated_graph24-3, 4,4,0,8,-0.0,-0.0,0.0010008811950683594,8,-0.0,-0.0,0.00099945068359375
generated_graph24-4, 4,4,0,8,-0.0,-0.0,0.0019991397857666016,8,-0.0,-0.0,0.002001047134399414
generated_graph24-5, 4,4,0,8,-0.0,-0.0,0.0019979476928710938,8,-0.0,-0.0,0.0010006427764892578
generated_graph25-3, 4,4,0,8,-0.0,-0.0,0.0009996891021728516,8,-0.0,-0.0,0.0009996891021728516
