instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1.06
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 5312, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1.86
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 10486.0, 7880, 6985, 7650.0, 7733.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3612.75
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 34428.0, 7881, 7008, 7588.0, 7622.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3609.35
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 9278, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, False, False, False, False, 5.69
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 29.0, 25163, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, False, 22.16
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 69461, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1401.68
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 96533, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, False, False, False, False, 402.45
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1823.0, 81343, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, False, False, False, False, 994.23
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1764.0, 122214, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1339.57
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 1.0, 213832, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, False, False, False, False, False, 4678.18
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 3169.0, 230594, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, False, False, False, False, 7308.23
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2700.0, 412216, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, False, False, False, False, 16860.6
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 2359.0, 926816, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, False, False, False, False, False, 77188.49
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 848343, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, False, False, False, False, False, 98442.16
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 111568.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, False, False, False, False, False, 572.38
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 4968.0, 40545, 947, 1181.0, 1438.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3608.07
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 81.0, 89051, 15808, 15833.0, 15837.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3836.85
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 338.0, 139499, 8161, 8438.0, 8784.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3801.92
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 1.0, 215924, 3066, 3123.0, 3368.0, NA, NA, 0, 0, 0, False, False, False, False, False, 4051.17
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 14.0, 743697, 18890, 19090.0, 19348.0, NA, NA, 0, 0, 0, False, False, False, False, False, 5891.96
