instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, fractional_callback, total_time
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, 7.49801230430603
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, False, 7.682323455810547
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, 5.625248193740845
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, 16.739765405654907
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7583.0, 7619.0, NA, NA, 0, 0, 0, False, False, False, False, 3601.967700958252
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7642.0, 7773.0, NA, NA, 0, 0, 0, False, False, False, False, 3602.131775379181
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107295.0, 107302.0, NA, NA, 0, 0, 0, False, False, False, False, 95.77134847640991
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204847.0, 204863.0, NA, NA, 0, 0, 0, False, False, False, False, 128.76592373847961
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 79560.0, 79580.0, NA, NA, 0, 0, 0, False, False, False, False, 3623.2979714870453
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, 8.789727687835693
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, False, 7.694601774215698
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, 5.482353448867798
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, 16.368184804916382
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7583.0, 7619.0, NA, NA, 0, 0, 0, False, False, False, False, 3601.731237888336
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7642.0, 7773.0, NA, NA, 0, 0, 0, False, False, False, False, 3602.141385793686
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107295.0, 107302.0, NA, NA, 0, 0, 0, False, False, False, False, 95.3215160369873
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204847.0, 204863.0, NA, NA, 0, 0, 0, False, False, False, False, 129.20718789100647
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 79560.0, 79580.0, NA, NA, 0, 0, 0, False, False, False, False, 3623.80824136734
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, 2307, 0.015192747116088867, 0, 0, 0, False, False, False, False, 8.725233793258667
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 13939.0, 13940.0, 2804, 0.04039335250854492, 0, 0, 0, False, False, False, False, 7.582472801208496
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 6978.0, 6978.0, 1282, 0.021980762481689453, 0, 0, 0, False, False, False, False, 5.432892322540283
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35267.0, 362, 0.07723712921142578, 0, 0, 0, False, False, False, False, 15.929980516433716
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7583.0, 7619.0, 8719, 0.0757150650024414, 0, 0, 0, False, False, False, False, 3601.771140575409
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7642.0, 7773.0, 13753, 0.09397673606872559, 0, 0, 0, False, False, False, False, 3602.270649909973
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107295.0, 107302.0, 5884, 0.3184092044830322, 0, 0, 0, False, False, False, False, 95.85368061065674
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204847.0, 204863.0, 12906, 0.4407632350921631, 0, 0, 0, False, False, False, False, 128.612802028656
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 79560.0, 79580.0, 15527, 0.5966484546661377, 0, 0, 0, False, False, False, False, 3623.7344510555267
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, True, False, False, False, 9.84824800491333
