instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, base_model, 4039, 88234, 17, 250, NA, 1.0, 8078, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, False, 7.32
CA-HepPh, base_model, 12006, 118489, 4, 250, NA, 1.0, 24012, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, False, 5.6
socfb-Syracuse56, base_model, 13653, 543982, 46, 250, NA, 1331.0, 27306, 0, 7642.0, 7773.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3602.33
socfb-Northeastern19, base_model, 13882, 381934, 33, 250, NA, 7843.0, 27764, 0, 7583.0, 7619.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3602.04
CA-CondMat, base_model, 23133, 93439, 4, 250, NA, 1.0, 46266, 0, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, False, False, False, False, 8.25
Brightkite_edges, base_model, 58228, 214078, 2, 250, NA, 1.0, 116456, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, False, 16.59
soc-catster.e, base_model, 149684, 5448197, 21, 250, NA, 2255.0, 299368, 0, 79561.0, 79616.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3628.17
Gowalla_edges, base_model, 196591, 950327, 3, 250, NA, 1.0, 393182, 0, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, False, False, False, False, 107.68
ca-citeseer, base_model, 227320, 814134, 3, 250, NA, 1.0, 454640, 0, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, False, False, False, False, 136.56
com-dblp.ungraph, base_model, 317080, 1049866, 3, 250, NA, 1.0, 634160, 0, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, False, False, False, False, 203.4
