instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
adjnoun.g2-0, 112,425,1,224,102.0,102.0,0.023992300033569336,20,102.0,102.0,0.006998538970947266
adjnoun.g2-1, 112,425,1,224,103.0,103.0,0.02299332618713379,20,103.0,103.0,0.007997274398803711
adjnoun.g2-2, 112,425,1,224,104.0,104.0,0.022992610931396484,20,104.0,104.0,0.006998300552368164
adjnoun.g2-3, 112,425,1,224,105.0,105.0,0.022995471954345703,20,105.0,105.0,0.008995771408081055
adjnoun.g2-4, 112,425,1,224,106.0,106.0,0.021994590759277344,20,106.0,106.0,0.00799703598022461
adjnoun.g3-0, 112,425,1,224,89.0,89.0,0.03399038314819336,46,89.0,89.0,0.009997129440307617
adjnoun.g3-1, 112,425,1,224,91.0,91.0,0.021993637084960938,46,91.0,91.0,0.009996891021728516
adjnoun.g3-2, 112,425,1,224,92.0,92.0,0.02099466323852539,46,92.0,92.0,0.00999760627746582
adjnoun.g3-3, 112,425,1,224,93.0,93.0,0.021991729736328125,46,93.0,93.0,0.009996891021728516
adjnoun.g3-4, 112,425,1,224,94.0,94.0,0.020991802215576172,46,94.0,94.0,0.010996580123901367
adjnoun.g4-0, 112,425,1,224,79.0,79.0,0.01799464225769043,66,79.0,79.0,0.010997295379638672
adjnoun.g4-1, 112,425,1,224,81.0,81.0,0.020993947982788086,66,81.0,81.0,0.010998010635375977
adjnoun.g4-2, 112,425,1,224,82.0,82.0,0.018996238708496094,66,82.0,82.0,0.009997129440307617
adjnoun.g4-3, 112,425,1,224,83.0,83.0,0.019993305206298828,66,83.0,83.0,0.009998321533203125
adjnoun.g4-4, 112,425,1,224,84.0,84.0,0.01899433135986328,66,84.0,84.0,0.010997295379638672
adjnoun.g5-0, 112,425,1,224,63.0,63.0,0.01699662208557129,98,63.0,63.0,0.012996673583984375
adjnoun.g5-1, 112,425,1,224,66.0,66.0,0.02899169921875,98,66.0,66.0,0.014995813369750977
adjnoun.g5-2, 112,425,1,224,69.0,69.0,0.029991865158081055,98,69.0,69.0,0.016993045806884766
adjnoun.g5-3, 112,425,1,224,72.0,72.0,0.02799201011657715,98,72.0,72.0,0.018026113510131836
adjnoun.g5-4, 112,425,1,224,75.0,75.0,0.027991771697998047,98,75.0,75.0,0.014995813369750977
as-22july06.g2-0, 22963,48436,1,45926,14966.0,14966.0,2.6334152221679688,15994,14966.0,14966.0,2.1909234523773193
as-22july06.g2-1, 22963,48436,1,45926,14969.0,14969.0,4.978677749633789,15994,14969.0,14969.0,2.4201765060424805
as-22july06.g2-2, 22963,48436,1,45926,14972.0,14972.0,4.662492036819458,15994,14972.0,14972.0,2.2225799560546875
as-22july06.g2-3, 22963,48436,1,45926,14975.0,14975.0,4.502066612243652,15994,14975.0,14975.0,2.21801495552063
as-22july06.g2-4, 22963,48436,1,45926,14978.0,14978.0,4.282031536102295,15994,14978.0,14978.0,2.2142648696899414
as-22july06.g3-0, 22963,48436,1,45926,4383.0,4383.0,1.9613721370697021,37160,4383.0,4383.0,2.723468542098999
as-22july06.g3-1, 22963,48436,1,45926,4389.0,4389.0,5.751526355743408,37160,4389.0,4389.0,3.08219313621521
as-22july06.g3-2, 22963,48436,1,45926,4395.0,4395.0,4.649979114532471,37160,4395.0,4395.0,3.164881706237793
as-22july06.g3-3, 22963,48436,1,45926,4401.0,4401.0,4.336038112640381,37160,4401.0,4401.0,2.88683819770813
as-22july06.g3-4, 22963,48436,1,45926,4406.0,4406.0,4.257628917694092,37160,4406.0,4406.0,3.214332342147827
as-22july06.g4-0, 22963,48436,1,45926,1856.0,1856.0,1.750067949295044,42214,1856.0,1856.0,2.879061222076416
as-22july06.g4-1, 22963,48436,1,45926,1864.0,1864.0,3.9163901805877686,42214,1864.0,1864.0,3.297065019607544
as-22july06.g4-2, 22963,48436,1,45926,1871.0,1871.0,4.613692283630371,42214,1871.0,1871.0,3.4390244483947754
as-22july06.g4-3, 22963,48436,1,45926,1878.0,1878.0,4.800638437271118,42214,1878.0,1878.0,3.652967691421509
as-22july06.g4-4, 22963,48436,1,45926,1884.0,1884.0,4.856621503829956,42214,1884.0,1884.0,3.9278862476348877
as-22july06.g5-0, 22963,48436,1,45926,1087.0,1087.0,1.4215970039367676,43752,1087.0,1087.0,2.777212619781494
as-22july06.g5-1, 22963,48436,1,45926,1094.0,1094.0,2.589266300201416,43752,1094.0,1094.0,2.896178960800171
as-22july06.g5-2, 22963,48436,1,45926,1101.0,1101.0,4.168816089630127,43752,1101.0,1101.0,3.3960394859313965
as-22july06.g5-3, 22963,48436,1,45926,1107.0,1107.0,4.701664686203003,43752,1107.0,1107.0,3.4360265731811523
as-22july06.g5-4, 22963,48436,1,45926,1112.0,1112.0,4.699669599533081,43752,1112.0,1112.0,3.4510202407836914
astro-ph.g2-0, 16706,121251,186,33412,14626.0,14626.0,3.415032148361206,4160,14626.0,14626.0,2.859189033508301
astro-ph.g2-1, 16706,121251,186,33412,14629.0,14629.0,6.709101438522339,4160,14629.0,14629.0,2.995147466659546
astro-ph.g2-2, 16706,121251,186,33412,14632.0,14632.0,6.628124237060547,4160,14632.0,14632.0,2.9581611156463623
astro-ph.g2-3, 16706,121251,186,33412,14635.0,14635.0,7.069994211196899,4160,14635.0,14635.0,2.8811850547790527
astro-ph.g2-4, 16706,121251,186,33412,14638.0,14638.0,6.012293815612793,4160,14639.0,14638.0,2.904176712036133
astro-ph.g3-0, 16706,121251,78,33412,12609.0,12609.0,3.3190596103668213,8194,12609.0,12609.0,4.011862277984619
astro-ph.g3-1, 16706,121251,78,33412,12615.0,12615.0,11.646698713302612,8194,12615.0,12615.0,4.05984902381897
astro-ph.g3-2, 16706,121251,78,33412,12620.0,12620.0,6.374195098876953,8194,12621.0,12620.0,4.041852235794067
astro-ph.g3-3, 16706,121251,78,33412,12625.0,12625.0,7.275937080383301,8194,12625.0,12625.0,4.026858568191528
astro-ph.g3-4, 16706,121251,78,33412,12629.0,12629.0,7.3079283237457275,8194,12630.0,12629.0,3.9838707447052
astro-ph.g4-0, 16706,121251,35,33412,10772.0,10772.0,3.3370540142059326,11868,10772.0,10772.0,4.92760443687439
astro-ph.g4-1, 16706,121251,35,33412,10782.0,10782.0,7.888755559921265,11868,10783.0,10782.0,4.366760969161987
astro-ph.g4-2, 16706,121251,35,33412,10789.0,10788.0,7.355916500091553,11868,10788.0,10788.0,4.386755704879761
astro-ph.g4-3, 16706,121251,35,33412,10794.0,10794.0,7.319926023483276,11868,10795.0,10794.0,4.411748170852661
astro-ph.g4-4, 16706,121251,35,33412,10801.0,10800.0,8.145692348480225,11868,10800.0,10800.0,4.447739362716675
astro-ph.g5-0, 16706,121251,16,33412,9223.0,9223.0,3.561990261077881,14966,9223.0,9223.0,5.1595377922058105
astro-ph.g5-1, 16706,121251,16,33412,9237.0,9237.0,9.672257900238037,14966,9237.0,9237.0,5.39547061920166
astro-ph.g5-2, 16706,121251,16,33412,9245.0,9245.0,8.817501068115234,14966,9245.0,9245.0,5.660395860671997
astro-ph.g5-3, 16706,121251,16,33412,9252.0,9252.0,10.520017385482788,14966,9252.0,9252.0,5.457453012466431
astro-ph.g5-4, 16706,121251,16,33412,9259.0,9259.0,9.375341176986694,14966,9259.0,9259.0,5.669392824172974
chesapeake.g2-0, 39,170,1,78,39.0,39.0,0.010996818542480469,0,39.0,39.0,0.001999378204345703
chesapeake.g2-1, 39,170,1,78,39.0,39.0,0.008997440338134766,0,39.0,39.0,0.001999378204345703
chesapeake.g2-2, 39,170,1,78,39.0,39.0,0.007997512817382812,0,39.0,39.0,0.0019996166229248047
chesapeake.g2-3, 39,170,1,78,39.0,39.0,0.007997751235961914,0,39.0,39.0,0.001999378204345703
chesapeake.g2-4, 39,170,1,78,39.0,39.0,0.007997751235961914,0,39.0,39.0,0.0029990673065185547
chesapeake.g3-0, 39,170,1,78,39.0,39.0,0.007997751235961914,0,39.0,39.0,0.001999378204345703
chesapeake.g3-1, 39,170,1,78,39.0,39.0,0.007997751235961914,0,39.0,39.0,0.001999378204345703
chesapeake.g3-2, 39,170,1,78,39.0,39.0,0.008004903793334961,0,39.0,39.0,0.001992464065551758
chesapeake.g3-3, 39,170,1,78,39.0,39.0,0.007997989654541016,0,39.0,39.0,0.001999378204345703
chesapeake.g3-4, 39,170,1,78,39.0,39.0,0.007997512817382812,0,39.0,39.0,0.0019996166229248047
chesapeake.g4-0, 39,170,1,78,33.0,33.0,0.007997751235961914,12,33.0,33.0,0.004998445510864258
chesapeake.g4-1, 39,170,1,78,39.0,39.0,0.008997678756713867,12,39.0,39.0,0.005998373031616211
chesapeake.g4-2, 39,170,1,78,39.0,39.0,0.007997512817382812,12,39.0,39.0,0.005998373031616211
chesapeake.g4-3, 39,170,1,78,39.0,39.0,0.008997440338134766,12,39.0,39.0,0.004998683929443359
chesapeake.g4-4, 39,170,1,78,39.0,39.0,0.007997512817382812,12,39.0,39.0,0.005998373031616211
chesapeake.g5-0, 39,170,1,78,31.0,31.0,0.0069980621337890625,16,31.0,31.0,0.0029993057250976562
chesapeake.g5-1, 39,170,1,78,32.0,32.0,0.007997751235961914,16,32.0,32.0,0.0029990673065185547
chesapeake.g5-2, 39,170,1,78,33.0,33.0,0.007997989654541016,16,33.0,33.0,0.002998828887939453
chesapeake.g5-3, 39,170,1,78,34.0,34.0,0.007997751235961914,16,34.0,34.0,0.0029993057250976562
chesapeake.g5-4, 39,170,1,78,35.0,35.0,0.007997751235961914,16,35.0,35.0,0.0029990673065185547
cond-mat-2003.g2-0, 31163,120029,415,62326,27014.0,27014.0,7.086991786956787,8298,27014.0,27014.0,5.259509325027466
cond-mat-2003.g2-1, 31163,120029,415,62326,27017.0,27017.0,9.571287631988525,8298,27017.0,27017.0,5.3824732303619385
cond-mat-2003.g2-2, 31163,120029,415,62326,27020.0,27020.0,9.04943585395813,8298,27022.0,27020.0,5.322490453720093
cond-mat-2003.g2-3, 31163,120029,415,62326,27023.0,27023.0,9.533297538757324,8298,27025.0,27023.0,5.191526651382446
cond-mat-2003.g2-4, 31163,120029,415,62326,27028.0,27026.0,9.10841965675354,8298,27027.0,27025.0,5.334486961364746
cond-mat-2003.g3-0, 31163,120029,181,62326,21955.0,21955.0,4.7466559410095215,18416,21955.0,21955.0,6.892045021057129
cond-mat-2003.g3-1, 31163,120029,181,62326,21961.0,21961.0,12.658413171768188,18416,21961.0,21961.0,6.901042222976685
cond-mat-2003.g3-2, 31163,120029,181,62326,21966.0,21966.0,11.922621011734009,18416,21967.0,21966.0,6.992017030715942
cond-mat-2003.g3-3, 31163,120029,181,62326,21971.0,21971.0,12.044586896896362,18416,21971.0,21969.0,6.998015403747559
cond-mat-2003.g3-4, 31163,120029,181,62326,21976.0,21976.0,13.708142280578613,18416,21976.0,21975.0,7.006013631820679
