instance_name, model_type, n, m, k, b, r, BBnodes, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2700.0, 1751426, 1321477, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, False, False, False, False, 12650.92
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 2359.0, 3949310, 2989817, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, False, False, False, False, False, 66873.28
