instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes1501-3, 150,570,0,300,150.0,150.0,0.031990766525268555,300,150.0,150.0,0.026992321014404297
erdos_renyi_nodes1501-4, 150,570,0,300,150.0,150.0,0.025992870330810547,300,150.0,150.0,0.026992321014404297
erdos_renyi_nodes1501-5, 150,570,0,300,150.0,150.0,0.03898882865905762,300,150.0,150.0,0.026992321014404297
erdos_renyi_nodes1502-3, 150,570,0,300,149.0,149.0,0.026992082595825195,300,149.0,149.0,0.0269927978515625
erdos_renyi_nodes1502-4, 150,570,0,300,149.0,149.0,0.025992631912231445,300,149.0,149.0,0.02799201011657715
erdos_renyi_nodes1502-5, 150,570,0,300,149.0,149.0,0.025991439819335938,300,149.0,149.0,0.028001785278320312
erdos_renyi_nodes1503-3, 150,570,0,300,148.0,148.0,0.0269925594329834,300,148.0,148.0,0.026992321014404297
erdos_renyi_nodes1503-4, 150,570,0,300,148.0,148.0,0.026993989944458008,300,148.0,148.0,0.026991605758666992
erdos_renyi_nodes1503-5, 150,570,0,300,148.0,148.0,0.025992870330810547,300,148.0,148.0,0.02799201011657715
erdos_renyi_nodes1504-3, 150,570,0,300,141.0,141.0,0.025994539260864258,300,141.0,141.0,0.028989791870117188
erdos_renyi_nodes1504-4, 150,570,0,300,141.0,141.0,0.026994705200195312,300,141.0,141.0,0.026992082595825195
erdos_renyi_nodes1504-5, 150,570,0,300,141.0,141.0,0.0250244140625,300,141.0,141.0,0.028960227966308594
erdos_renyi_nodes1505-3, 150,570,0,300,124.0,124.0,0.03399038314819336,300,124.0,124.0,0.03898882865905762
erdos_renyi_nodes1505-4, 150,570,0,300,125.0,125.0,0.031991004943847656,300,125.0,125.0,0.03498959541320801
erdos_renyi_nodes1505-5, 150,570,0,300,126.0,126.0,0.02399301528930664,300,126.0,126.0,0.028992176055908203
erdos_renyi_nodes3001-3, 300,1196,0,600,300.0,300.0,0.04998660087585449,600,300.0,300.0,0.0579838752746582
erdos_renyi_nodes3001-4, 300,1196,0,600,300.0,300.0,0.05098605155944824,600,300.0,300.0,0.05698347091674805
erdos_renyi_nodes3001-5, 300,1196,0,600,300.0,300.0,0.05098581314086914,600,300.0,300.0,0.054984331130981445
erdos_renyi_nodes3002-3, 300,1196,0,600,299.0,299.0,0.050986528396606445,600,299.0,299.0,0.056982994079589844
erdos_renyi_nodes3002-4, 300,1196,0,600,299.0,299.0,0.04998588562011719,600,299.0,299.0,0.0559840202331543
erdos_renyi_nodes3002-5, 300,1196,0,600,299.0,299.0,0.04998588562011719,600,299.0,299.0,0.0579833984375
erdos_renyi_nodes3003-3, 300,1196,0,600,295.0,295.0,0.04998588562011719,600,295.0,295.0,0.0579833984375
erdos_renyi_nodes3003-4, 300,1196,0,600,295.0,295.0,0.047986507415771484,600,295.0,295.0,0.05698370933532715
erdos_renyi_nodes3003-5, 300,1196,0,600,295.0,295.0,0.04898691177368164,600,295.0,295.0,0.05698442459106445
erdos_renyi_nodes3004-3, 300,1196,0,600,282.0,282.0,0.04998517036437988,600,282.0,282.0,0.06098294258117676
erdos_renyi_nodes3004-4, 300,1196,0,600,282.0,282.0,0.04898571968078613,600,282.0,282.0,0.059983015060424805
erdos_renyi_nodes3004-5, 300,1196,0,600,282.0,282.0,0.04897570610046387,600,282.0,282.0,0.07797765731811523
erdos_renyi_nodes3005-3, 300,1196,0,600,260.0,260.0,0.05698347091674805,600,260.0,260.0,0.07397961616516113
erdos_renyi_nodes3005-4, 300,1196,0,600,261.0,261.0,0.05698370933532715,600,261.0,261.0,0.07397937774658203
erdos_renyi_nodes3005-5, 300,1196,0,600,262.0,262.0,0.056983232498168945,600,262.0,262.0,0.07697701454162598
generated_graph1-3, 20,38,0,40,20.0,20.0,0.004997968673706055,40,20.0,20.0,0.004998445510864258
generated_graph1-4, 20,38,0,40,20.0,20.0,0.004999637603759766,40,20.0,20.0,0.004999876022338867
generated_graph1-5, 20,38,0,40,20.0,20.0,0.004999876022338867,40,20.0,20.0,0.003998517990112305
generated_graph2-3, 20,38,0,40,19.0,19.0,0.003998756408691406,40,19.0,19.0,0.004999399185180664
generated_graph2-4, 20,38,0,40,19.0,19.0,0.0049974918365478516,40,19.0,19.0,0.003998756408691406
generated_graph2-5, 20,38,0,40,19.0,19.0,0.0039937496185302734,40,19.0,19.0,0.003999948501586914
generated_graph3-3, 20,38,0,40,15.0,15.0,0.003998279571533203,40,15.0,15.0,0.0039997100830078125
generated_graph3-4, 20,38,0,40,15.0,15.0,0.004997968673706055,40,15.0,15.0,0.003998994827270508
generated_graph3-5, 20,38,0,40,15.0,15.0,0.004998207092285156,40,15.0,15.0,0.00500035285949707
