instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_10_fixings, prop_10, prop_10_comp_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, 0, True, 0.01, False, False, False, False, False, 0.9
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, 748, True, 0.3, False, False, False, False, False, 1.14
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 8699.0, 8085, 6985, 7642.0, 7731.0, NA, NA, 0, 0, 0, False, 205, True, 0.8, False, False, False, False, False, 3605.07
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 37310.0, 8120, 7008, 7585.0, 7621.0, NA, NA, 0, 0, 0, False, 239, True, 0.67, False, False, False, False, False, 3603.53
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, 1605, True, 1.25, False, False, False, False, False, 2.51
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 29.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, 830, True, 4.12, False, False, False, False, False, 6.68
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, 178, True, 38.62, False, False, False, False, False, 73.64
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, False, 3282, True, 70.39, False, False, False, False, False, 1157.2
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, 3991, True, 49.14, False, False, False, False, False, 66.83
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1716.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, 1570, True, 372.75, False, False, False, False, False, 394.92
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1950.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, 1920, True, 276.76, False, False, False, False, False, 297.13
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 107.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, False, 7245, True, 1515.76, False, False, False, False, False, 2001.23
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 3879.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, 3852, True, 875.62, False, False, False, False, False, 2132.67
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2747.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, 19600, True, 5141.65, False, False, False, False, False, 5435.24
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1515.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, False, 32875, True, 13981.48, False, False, False, False, False, 14753.49
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, False, 47591, True, 19380.94, False, False, False, False, False, 20401.72
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 62619.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, False, 1, True, 0.01, False, False, False, False, False, 301.5
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 3352.0, 60920, 947, 1174.0, 1452.0, NA, NA, 0, 0, 0, False, 20376, True, 1.46, False, False, False, False, False, 3602.82
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 69.0, 95668, 15808, 15833.0, 15838.0, NA, NA, 0, 0, 0, False, 6674, True, 63.1, False, False, False, False, False, 3693.18
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 2161.0, 200539, 8161, 8433.0, 8779.0, NA, NA, 0, 0, 0, False, 61051, True, 37.35, False, False, False, False, False, 3648.41
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 1.0, 329837, 3066, 3123.0, 3368.0, NA, NA, 0, 0, 0, False, 114050, True, 127.27, False, False, False, False, False, 3738.1
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 14.0, 1138333, 18890, 19088.0, 19346.0, NA, NA, 0, 0, 0, False, 395007, True, 448.84, False, False, False, False, False, 4092.55
