instances, , , ,Base Model, , , ,Base Model with warm start , , , , Reduced Model , , , , Reduced Model with warm start

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time,#vars, LB, UB, time, #vars, LB, UB, time, #vars, LB, UB, time, 
belgium.osm.graph_formated2-1, 1441295,1549970,1238894,2882590,1441296.0,1441296.0,189.06377005577087,2882589,1441296.0,1441296.0,321.77370429039,2882590,1441296.0,1441296.0,181.31563425064087,2882589,1441296.0,1441296.0,227.49993348121643,404802,1441296.0,1441296.0,6749.988164901733,
belgium.osm.graph_formated2-3, 1441295,1549970,1238894,2882590,1441298.0,1441298.0,166.34306025505066,2882590,1441298.0,1441298.0,269.88319277763367,2882590,1441298.0,1441298.0,165.15746092796326,2882590,1441298.0,1441298.0,208.36916184425354,404802,1441298.0,1441298.0,7595.262454748154,
belgium.osm.graph_formated2-5, 1441295,1549970,1238894,2882590,1441300.0,1441300.0,203.13965797424316,2882590,1441300.0,1441300.0,356.16826272010803,2882590,1441300.0,1441300.0,202.52765369415283,2882590,1441300.0,1441300.0,241.940904378891,404802,1441300.0,1441300.0,7131.858673810959,
