instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
erdos_renyi_nodes10503-3, 1050,4253,1,2100,1038.0,1038.0,0.6634438037872314,24,1038.0,1038.0,66.47181606292725
erdos_renyi_nodes10503-4, 1050,4253,1,2100,1038.0,1038.0,0.583878755569458,24,1038.0,1038.0,61.818806171417236
erdos_renyi_nodes10503-5, 1050,4253,1,2100,1038.0,1038.0,0.48526549339294434,24,1038.0,1038.0,66.28100347518921
erdos_renyi_nodes10504-3, 1050,4253,1,2100,1013.0,1013.0,0.4828622341156006,80,1010.0,1010.0,60.28787612915039
erdos_renyi_nodes10504-4, 1050,4253,1,2100,1013.0,1013.0,0.44887232780456543,80,1010.0,1010.0,60.172207832336426
erdos_renyi_nodes10504-5, 1050,4253,1,2100,1013.0,1013.0,0.54984450340271,80,1010.0,1010.0,61.37079858779907
erdos_renyi_nodes10505-3, 1050,4253,1,2100,946.0,946.0,0.6249825954437256,226,937.0,937.0,59.326762199401855
erdos_renyi_nodes10505-4, 1050,4253,1,2100,947.0,947.0,0.5398473739624023,226,937.0,937.0,69.20418453216553
