instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, y_continuous, additonal_facet_defining, y_val_fix, fractional_callback, total_time
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 0, 0, False, False, False, False, 0.08476042747497559
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, NA, NA, 0, 0, 0, False, False, False, False, 0.3753042221069336
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, NA, NA, 0, 0, 0, False, False, False, False, 0.2121131420135498
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, NA, NA, 0, 0, 0, False, False, False, False, 0.7990701198577881
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, NA, NA, 0, 0, 0, False, False, False, False, 0.33991193771362305
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, NA, NA, 0, 0, 0, False, False, False, False, 0.3476569652557373
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, NA, NA, 0, 0, 0, False, False, False, False, 3.1950290203094482
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, NA, NA, 0, 0, 0, False, False, False, False, 4.9090423583984375
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, NA, NA, 0, 0, 0, False, False, False, False, 2.8659791946411133
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 1, 0.05287337303161621, False, False, False, False, 1.3545520305633545
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, NA, NA, 0, 1, 0.10079741477966309, False, False, False, False, 0.35634779930114746
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, NA, NA, 0, 1, 0.08838081359863281, False, False, False, False, 0.2451188564300537
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, NA, NA, 0, 1, 0.2598710060119629, False, False, False, False, 1.0577833652496338
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, NA, NA, 0, 1, 0.2189960479736328, False, False, False, False, 0.4434964656829834
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, NA, NA, 0, 1, 0.2978057861328125, False, False, False, False, 0.6562361717224121
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, NA, NA, 0, 1, 0.9870426654815674, False, False, False, False, 4.155144453048706
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, NA, NA, 0, 1, 1.3873560428619385, False, False, False, False, 6.939238786697388
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, NA, NA, 0, 1, 3.107379198074341, False, False, False, False, 6.052677154541016
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, 2307, 0.014518022537231445, 0, 0, 0, False, False, False, False, 1.3161945343017578
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, 2797, 0.040131330490112305, 0, 0, 0, False, False, False, False, 0.29666805267333984
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, 1284, 0.0221254825592041, 0, 0, 0, False, False, False, False, 0.24366521835327148
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, 362, 0.07714080810546875, 0, 0, 0, False, False, False, False, 0.9495227336883545
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, 8719, 0.07504916191101074, 0, 0, 0, False, False, False, False, 0.42197299003601074
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, 13753, 0.09293317794799805, 0, 0, 0, False, False, False, False, 0.3186192512512207
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, 5884, 0.325103759765625, 0, 0, 0, False, False, False, False, 3.913215398788452
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, 12906, 0.45247578620910645, 0, 0, 0, False, False, False, False, 6.034108400344849
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, 15792, 0.6127471923828125, 0, 0, 0, False, False, False, False, 3.6169824600219727
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 0, 0, False, False, False, False, 2.4036011695861816
