instances, , , ,Original Model, , , ,Reduced Model

	             #name, #nodes, #edges, #k-cores, #vars, LB, UB, time, #vars, LB, UB, time
test_graph42-5, 11,16,1,22,9.0,9.0,0.008997917175292969,4,11.0,11.0,0.0019996166229248047
test_graph43-5, 11,16,2,22,9.0,9.0,0.004998207092285156,6,11.0,11.0,0.0020008087158203125
test_graph44-5, 11,16,0,22,1.0,1.0,0.004997730255126953,22,6.0,6.0,0.0049974918365478516
test_graph45-5, 11,16,0,22,-0.0,-0.0,0.0020017623901367188,22,5.0,5.0,0.0029993057250976562
