instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, num_additonal_constraints, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, NA, 2479, 2061, NA, NA, 0, 0, 0, False, True, False, 1292, False, False, 0.79
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, NA, 6049, 6591, NA, NA, 0, 0, 0, False, True, False, 3700, False, False, 1.44
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, NA, 2479, 2061, NA, NA, 0, 0, 0, False, True, False, 1292, False, False, 0.86
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, NA, 6049, 6591, NA, NA, 0, 0, 0, False, True, False, 3700, False, False, 1.44
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, NA, 8085, 6985, NA, NA, 0, 0, 0, False, True, False, 4278, False, False, 7.61
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, NA, 8120, 7008, NA, NA, 0, 0, 0, False, True, False, 4455, False, False, 5.38
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, NA, 10848, 13464, NA, NA, 0, 0, 0, False, True, False, 9392, False, False, 2.01
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, NA, 25887, 34706, NA, NA, 0, 0, 0, False, True, False, 18748, False, False, 4.7
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, NA, 554, 105386, NA, NA, 0, 0, 0, False, True, False, 368, False, False, 48.34
