instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, y_continuous, additonal_facet_defining, y_val_fix, fractional_callback, total_time
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 0, 0, False, False, False, False, 0.06578874588012695
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, NA, NA, 0, 0, 0, False, False, False, False, 0.36421704292297363
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, NA, NA, 0, 0, 0, False, False, False, False, 0.21232151985168457
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, NA, NA, 0, 0, 0, False, False, False, False, 0.8086557388305664
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, NA, NA, 0, 0, 0, False, False, False, False, 0.3351166248321533
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, NA, NA, 0, 0, 0, False, False, False, False, 0.3418736457824707
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, NA, NA, 0, 0, 0, False, False, False, False, 3.1527764797210693
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, NA, NA, 0, 0, 0, False, False, False, False, 4.943893909454346
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, NA, NA, 0, 0, 0, False, False, False, False, 2.8501532077789307
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 1, 0.0538630485534668, False, False, False, False, 1.3069343566894531
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, NA, NA, 0, 1, 0.10304737091064453, False, False, False, False, 0.3657522201538086
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, NA, NA, 0, 1, 0.08875370025634766, False, False, False, False, 0.25252866744995117
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, NA, NA, 0, 1, 0.26373815536499023, False, False, False, False, 1.0566787719726562
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, NA, NA, 0, 1, 0.22555184364318848, False, False, False, False, 0.44959521293640137
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, NA, NA, 0, 1, 0.307910680770874, False, False, False, False, 0.6526241302490234
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, NA, NA, 0, 1, 1.001680850982666, False, False, False, False, 4.135040998458862
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, NA, NA, 0, 1, 1.4148612022399902, False, False, False, False, 6.915584087371826
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, NA, NA, 0, 1, 3.2580299377441406, False, False, False, False, 6.15899658203125
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, 2307, 0.01509404182434082, 0, 0, 0, False, False, False, False, 1.269392728805542
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, 2804, 0.04078555107116699, 0, 0, 0, False, False, False, False, 0.30473780632019043
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, 1282, 0.022637367248535156, 0, 0, 0, False, False, False, False, 0.23856449127197266
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, 362, 0.0802154541015625, 0, 0, 0, False, False, False, False, 0.9506282806396484
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, 8719, 0.0773308277130127, 0, 0, 0, False, False, False, False, 0.4397103786468506
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, 13753, 0.09751534461975098, 0, 0, 0, False, False, False, False, 0.32513880729675293
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, 5884, 0.33365821838378906, 0, 0, 0, False, False, False, False, 3.512744188308716
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, 12906, 0.4648747444152832, 0, 0, 0, False, False, False, False, 5.970517873764038
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, 15527, 0.6351065635681152, 0, 0, 0, False, False, False, False, 3.5645697116851807
facebook_combined, base_model, 17, 25, NA, 8078, 0, 0, 4039.0, 4039.0, NA, NA, 0, 0, 0, False, False, False, False, 2.3494455814361572
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 23133.0, 23133.0, NA, NA, 0, 0, 0, False, False, False, False, 2.361126661300659
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 12008.0, 12008.0, NA, NA, 0, 0, 0, False, False, False, False, 0.9955742359161377
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 58228.0, 58228.0, NA, NA, 0, 0, 0, False, False, False, False, 7.135552883148193
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 13882.0, 13882.0, NA, NA, 0, 0, 0, False, False, False, False, 11.05058479309082
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 13653.0, 13653.0, NA, NA, 0, 0, 0, False, False, False, False, 15.497422933578491
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 196591.0, 196591.0, NA, NA, 0, 0, 0, False, False, False, False, 119.54460072517395
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 317080.0, 317080.0, NA, NA, 0, 0, 0, False, False, False, False, 170.6003062725067
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 149700.0, 149700.0, NA, NA, 0, 0, 0, False, False, False, False, 303.6749532222748
