instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 2, NA, 1951.0, 2479, 2061, 2112.0, 2112.0, NA, NA, 0, 0, 0, False, False, False, False, False, 7.3
CA-HepPh, reduced_model, 12006, 118489, 4, 2, NA, 1.0, 6049, 6591, 6601.0, 6601.0, NA, NA, 0, 0, 0, False, False, False, False, False, 0.86
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 2, NA, 1867.0, 8085, 6985, 7000.0, 7000.0, NA, NA, 0, 0, 0, False, False, False, False, False, 52.22
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 2, NA, 695.0, 8120, 7008, 7025.0, 7025.0, NA, NA, 0, 0, 0, False, False, False, False, False, 16.78
CA-CondMat, reduced_model, 23133, 93439, 4, 2, NA, 1.0, 10848, 13464, 13476.0, 13476.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1.3
Brightkite_edges, reduced_model, 58228, 214078, 2, 2, NA, 56.0, 25887, 34706, 34716.0, 34716.0, NA, NA, 0, 0, 0, False, False, False, False, False, 2.55
flickrEdges, reduced_model, 105938, 2316948, 4, 2, NA, 0.0, 554, 105386, 105387.0, 105387.0, NA, NA, 0, 0, 0, False, False, False, False, False, 34.0
soc-catster.e, reduced_model, 149684, 5448197, 21, 2, NA, 1.0, 72742, 78945, 78985.0, 78985.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1075.5
Gowalla_edges, reduced_model, 196591, 950327, 3, 2, NA, 1.0, 100437, 106417, 106430.0, 106430.0, NA, NA, 0, 0, 0, False, False, False, False, False, 17.82
ca-citeseer, reduced_model, 227320, 814134, 3, 2, NA, 1.0, 82847, 152966, 152980.0, 152980.0, NA, NA, 0, 0, 0, False, False, False, False, False, 12.73
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 2, NA, 1.0, 124059, 204031, 204045.0, 204045.0, NA, NA, 0, 0, 0, False, False, False, False, False, 16.68
soc-dogster.e, reduced_model, 426816, 8543549, 12, 2, NA, 1.0, 221076, 214490, 214506.0, 214506.0, NA, NA, 0, 0, 0, False, False, False, False, False, 472.71
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 2, NA, 891.0, 234446, 231419, 231454.0, 231454.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1145.94
web-Google, reduced_model, 875713, 4322051, 4, 2, NA, 3134.0, 429949, 492655, 492694.0, 492694.0, NA, NA, 0, 0, 0, False, False, False, False, False, 183.26
web-hudong.e, reduced_model, 1974655, 14428382, 5, 2, NA, 735.0, 959493, 1055322, 1055345.0, 1055345.0, NA, NA, 0, 0, 0, False, False, False, False, False, 763.51
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 2, NA, 1.0, 895053, 1277646, 1277663.0, 1277663.0, NA, NA, 0, 0, 0, False, False, False, False, False, 992.65
facebook_combined, reduced_model, 4039, 88234, 20, 2, NA, 636.0, 2672, 1854, 1876.0, 1876.0, NA, NA, 0, 0, 0, False, False, False, False, False, 7.06
Brightkite_edges, reduced_model, 58228, 214078, 20, 2, NA, 23738.0, 60920, 947, 998.0, 998.0, NA, NA, 0, 0, 0, False, False, False, False, False, 302.5
flickrEdges, reduced_model, 105938, 2316948, 20, 2, NA, 1.0, 95668, 15808, 15812.0, 15812.0, NA, NA, 0, 0, 0, False, False, False, False, False, 57.56
Gowalla_edges, reduced_model, 196591, 950327, 20, 2, NA, 3261.0, 200539, 8161, 8219.0, 8219.0, NA, NA, 0, 0, 0, False, False, False, False, False, 488.47
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 2, NA, 1492.0, 329837, 3066, 3072.0, 3072.0, NA, NA, 0, 0, 0, False, False, False, False, False, 405.92
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 2, NA, 1639.0, 1138333, 18890, 18922.0, 18922.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1050.53
