instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_10_fixings, prop_10, prop_10_comp_time, warm_start, prop_8, y_val_fix, relax, fractional_callback, total_time
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 3879.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, 3852, True, 18.1, False, False, False, False, False, 1280.55
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2747.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, 19600, True, 6.35, False, False, False, False, False, 302.17
