instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_10_fixings, prop_10, prop_10_comp_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, 0, True, 0.03, False, False, False, False, False, 0.95
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 0.0, 6049, 6591, 6591.0, 6591.0, NA, NA, 0, 0, 0, False, 12006, True, 0.79, False, False, False, False, False, 1.52
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 10827.0, 8085, 6985, 7643.0, 7734.0, NA, NA, 0, 0, 0, False, 0, True, 1.41, False, False, False, False, False, 3605.55
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 29617.0, 8120, 7008, 7587.0, 7615.0, NA, NA, 0, 0, 0, False, 0, True, 0.53, False, False, False, False, False, 3603.3
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 0.0, 10848, 13464, 13464.0, 13464.0, NA, NA, 0, 0, 0, False, 23133, True, 7.09, False, False, False, False, False, 8.11
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 29.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, 0, True, 19.97, False, False, False, False, False, 22.51
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, False, 0, True, 0.3, False, False, False, False, False, 33.94
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, False, 0, True, 0.05, False, False, False, False, False, 1051.65
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 0.0, 100437, 106417, 106417.0, 106417.0, NA, NA, 0, 0, 0, False, 196591, True, 307.76, False, False, False, False, False, 321.78
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 0.0, 82847, 152966, 152966.0, 152966.0, NA, NA, 0, 0, 0, False, 227320, True, 1238.69, False, False, False, False, False, 1249.02
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1950.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, 0, True, 2377.22, False, False, False, False, False, 2397.59
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 107.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, False, 0, True, 707.54, False, False, False, False, False, 1176.12
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 3879.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, 0, True, 0.13, False, False, False, False, False, 1221.9
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2747.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, 0, True, 8653.66, False, False, False, False, False, 8942.14
web-hudong.e, reduced_model, 1974655, 14428382, 5, 250, NA, 1515.0, 959493, 1055322, 1056519.0, 1056519.0, NA, NA, 0, 0, 0, False, 0, True, 7593.56, False, False, False, False, False, 8314.78
web-baidu-baike.e, reduced_model, 2140198, 17014946, 3, 250, NA, 1.0, 895053, 1277646, 1278551.0, 1278551.0, NA, NA, 0, 0, 0, False, 0, True, 98313.88, False, False, False, False, False, 99288.2
facebook_combined, reduced_model, 4039, 88234, 20, 20, NA, 62619.0, 2672, 1854, 1967.0, 1967.0, NA, NA, 0, 0, 0, False, 0, True, 0.03, False, False, False, False, False, 306.01
Brightkite_edges, reduced_model, 58228, 214078, 20, 20, NA, 0.0, 60920, 947, 947.0, 947.0, NA, NA, 0, 0, 0, False, 58228, True, 1.76, False, False, False, False, False, 3.15
flickrEdges, reduced_model, 105938, 2316948, 20, 20, NA, 69.0, 95668, 15808, 15833.0, 15838.0, NA, NA, 0, 0, 0, False, 0, True, 0.27, False, False, False, False, False, 3629.15
Gowalla_edges, reduced_model, 196591, 950327, 20, 20, NA, 0.0, 200539, 8161, 8161.0, 8161.0, NA, NA, 0, 0, 0, False, 196591, True, 43.31, False, False, False, False, False, 54.33
com-dblp.ungraph, reduced_model, 317080, 1049866, 20, 20, NA, 0.0, 329837, 3066, 3066.0, 3066.0, NA, NA, 0, 0, 0, False, 317080, True, 156.55, False, False, False, False, False, 166.47
com-youtube.ungraph, reduced_model, 1134890, 2987624, 20, 20, NA, 0.0, 1138333, 18890, 18890.0, 18890.0, NA, NA, 0, 0, 0, False, 1134890, True, 563.07, False, False, False, False, False, 607.93
