instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, prop_9, num_prop_9_inequalties_added, prop_9_comp_time, prop_10, warm_start, prop_8, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, True, 3049, 0.86, False, False, False, False, False, False, 1.86
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, True, 2062, 0.12, False, False, False, False, False, False, 1.0
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 9111.0, 8085, 6985, 7647.0, 7730.0, NA, NA, 0, 0, 0, True, 8188, 26.16, False, False, False, False, False, False, 3630.42
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 28929.0, 8120, 7008, 7588.0, 7618.0, NA, NA, 0, 0, 0, True, 7184, 5.94, False, False, False, False, False, False, 3608.75
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, True, 4339, 0.23, False, False, False, False, False, False, 1.82
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 33.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, True, 1587, 0.2, False, False, False, False, False, False, 2.84
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 0.0, 554, 105386, 105388.0, 105388.0, NA, NA, 0, 0, 0, True, 4, 0.01, False, False, False, False, False, False, 34.56
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 12.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, True, 18587, 2.36, False, False, False, False, False, False, 1114.6
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, True, 16892, 1.12, False, False, False, False, False, False, 19.68
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, True, 22010, 1.3, False, False, False, False, False, False, 18.9
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, True, 25785, 1.71, False, False, False, False, False, False, 23.75
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 1.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, True, 56461, 4.93, False, False, False, False, False, False, 499.04
