instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, total_time
facebook_combined, reduced_model, 1, 1, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13196969032287598, 1.6718814373016357
facebook_combined, reduced_model, 1, 6, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13196396827697754, 1.6485388278961182
facebook_combined, reduced_model, 1, 11, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13396477699279785, 1.644542932510376
facebook_combined, reduced_model, 1, 16, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.1389632225036621, 1.6285560131072998
facebook_combined, reduced_model, 1, 21, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.12996292114257812, 1.6105506420135498
facebook_combined, reduced_model, 1, 26, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13496184349060059, 1.6535379886627197
facebook_combined, reduced_model, 1, 31, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13296294212341309, 1.6495389938354492
facebook_combined, reduced_model, 1, 36, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13296270370483398, 1.624544620513916
facebook_combined, reduced_model, 1, 41, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13196229934692383, 1.6535367965698242
facebook_combined, reduced_model, 1, 46, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13296270370483398, 1.6615352630615234
facebook_combined, reduced_model, 1, 51, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13296270370483398, 1.6236329078674316
facebook_combined, reduced_model, 1, 56, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13296270370483398, 1.7075223922729492
facebook_combined, reduced_model, 1, 61, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.1309654712677002, 1.656538963317871
facebook_combined, reduced_model, 1, 66, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13196277618408203, 1.634605884552002
facebook_combined, reduced_model, 1, 71, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13196325302124023, 1.6079292297363281
facebook_combined, reduced_model, 1, 76, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13396096229553223, 1.6345024108886719
facebook_combined, reduced_model, 1, 81, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13333630561828613, 1.6451408863067627
facebook_combined, reduced_model, 1, 86, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13196182250976562, 1.5888512134552002
facebook_combined, reduced_model, 1, 91, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.13096308708190918, 1.6471354961395264
facebook_combined, reduced_model, 1, 96, NA, 8078, 4039, 4039, 4039.0, 4039.0, NA, NA, 0, 1, 0.132965087890625, 1.6228580474853516
