instance_name, model_type, n, m, k, b, r, BBnodes, var_num, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, 2061, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, False, 0.94
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, 6591, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1.54
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 10212.0, 8085, 6985, 7641.0, 7733.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3606.15
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 32662.0, 8120, 7008, 7587.0, 7619.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3604.5
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, 13464, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, False, False, False, False, 4.09
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 29.0, 25887, 34706, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, False, 18.79
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, 78945, 79561.0, 79561.0, NA, NA, 0, 0, 0, False, False, False, False, False, 1262.62
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, 106417, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, False, False, False, False, 331.3
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 1799.0, 82847, 152966, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, False, False, False, False, 773.3
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1764.0, 124059, 204031, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, False, False, False, False, 953.69
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 1.0, 221076, 214490, 215343.0, 215343.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3842.32
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 3169.0, 234446, 231419, 232329.0, 232329.0, NA, NA, 0, 0, 0, False, False, False, False, False, 5521.71
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 2700.0, 429949, 492655, 494579.0, 494579.0, NA, NA, 0, 0, 0, False, False, False, False, False, 14919.16
