instance_name, model_type, n, m, k, b, r, BBnodes, var_num, warm_start, num_k_core_nodes, lower_bound, upper_bound, prop_8, prop_9, prop_10, prop_11_reduction, prop_11_iterations, prop_11_run_time, relax, fractional_callback, total_time
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, False, 2061, 2533.0, 2533.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 14.09
facebook_combined, reduced_model, 4039, 88234, 17, 250, NA, 1.0, 2479, False, 2061, 2533.0, 2533.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 14.0
CA-HepPh, reduced_model, 12006, 118489, 4, 250, NA, 1.0, 6049, False, 6591, 6978.0, 6978.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3.77
socfb-Syracuse56, reduced_model, 13653, 543982, 46, 250, NA, 632.0, 8085, False, 6985, 7618.0, 7774.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3774.25
socfb-Northeastern19, reduced_model, 13882, 381934, 33, 250, NA, 1161.0, 8120, False, 7008, 7579.0, 7644.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3696.2
CA-CondMat, reduced_model, 23133, 93439, 4, 250, NA, 1.0, 10848, False, 13464, 13939.0, 13939.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 14.45
Brightkite_edges, reduced_model, 58228, 214078, 2, 250, NA, 1061.0, 25887, False, 34706, 35267.0, 35267.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 959.18
flickrEdges, reduced_model, 105938, 2316948, 4, 250, NA, 1.0, 554, False, 105386, 105388.0, 105388.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 10.93
soc-catster.e, reduced_model, 149684, 5448197, 21, 250, NA, 1.0, 72742, False, 78945, 79561.0, 79561.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 718.15
Gowalla_edges, reduced_model, 196591, 950327, 3, 250, NA, 1.0, 100437, False, 106417, 107299.0, 107299.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 71.75
ca-citeseer, reduced_model, 227320, 814134, 3, 250, NA, 454.0, 82847, False, 152966, 153764.0, 153768.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 5337.68
com-dblp.ungraph, reduced_model, 317080, 1049866, 3, 250, NA, 1.0, 124059, False, 204031, 204857.0, 204857.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 481.01
soc-dogster.e, reduced_model, 426816, 8543549, 12, 250, NA, 31.0, 221076, False, 214490, 215343.0, 215351.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 4229.62
soc-twitter-higgs.e, reduced_model, 456631, 12508442, 17, 250, NA, 1.0, 234446, False, 231419, 232316.0, 232355.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 3691.06
web-Google, reduced_model, 875713, 4322051, 4, 250, NA, 31.0, 429949, False, 492655, 494574.0, 494622.0, False, False, False, 0, 0, 0, False, <module 'fractional_callback' from '/home/sak8/Maximizing-resilience-in-large-scale-social-networks/src/fractional_callback.py'>, 4173.73
