instance_name, model_type, n, m, k, b, r, LP, BBnodes, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, relax, fractional_callback, total_time
facebook_combined, base_model, 4039, 88234, 17, 250, NA, NA, 0.0, 8078, 0, 0, 3255.46, 3255.46, NA, NA, 0, 0, 0, False, False, False, True, False, 0.68
CA-CondMat, base_model, 23133, 93439, 4, 250, NA, NA, 0.0, 46266, 0, 0, 18131.35, 18131.35, NA, NA, 0, 0, 0, False, False, False, True, False, 2.67
CA-HepPh, base_model, 12006, 118489, 4, 250, NA, NA, 0.0, 24012, 0, 0, 9321.44, 9321.44, NA, NA, 0, 0, 0, False, False, False, True, False, 1.29
Brightkite_edges, base_model, 58228, 214078, 2, 250, NA, NA, 0.0, 116456, 0, 0, 46620.0, 46620.0, NA, NA, 0, 0, 0, False, False, False, True, False, 4.94
socfb-Northeastern19, base_model, 13882, 381934, 33, 250, NA, NA, 0.0, 27764, 0, 0, 10528.47, 10528.47, NA, NA, 0, 0, 0, False, False, False, True, False, 13.25
socfb-Syracuse56, base_model, 13653, 543982, 46, 250, NA, NA, 0.0, 27306, 0, 0, 10565.22, 10565.22, NA, NA, 0, 0, 0, False, False, False, True, False, 22.31
ca-citeseer, base_model, 227320, 814134, 3, 250, NA, NA, 0.0, 454640, 0, 0, 190873.42, 190873.42, NA, NA, 0, 0, 0, False, False, False, True, False, 39.37
Gowalla_edges, base_model, 196591, 950327, 3, 250, NA, NA, 0.0, 393182, 0, 0, 148390.45, 148390.45, NA, NA, 0, 0, 0, False, False, False, True, False, 54.59
com-dblp.ungraph, base_model, 317080, 1049866, 3, 250, NA, NA, 0.0, 634160, 0, 0, 261392.95, 261392.95, NA, NA, 0, 0, 0, False, False, False, True, False, 68.29
web-Google, base_model, 875713, 4322051, 4, 250, NA, NA, 0.0, 1751426, 0, 0, 662086.98, 662086.98, NA, NA, 0, 0, 0, False, False, False, True, False, 160.89
soc-catster.e, base_model, 149684, 5448197, 21, 250, NA, NA, 0.0, 299368, 0, 0, 111681.46, 111681.46, NA, NA, 0, 0, 0, False, False, False, True, False, 136.57
soc-dogster.e, base_model, 426816, 8543549, 12, 250, NA, NA, 0.0, 853632, 0, 0, 309422.55, 309422.55, NA, NA, 0, 0, 0, False, False, False, True, False, 687.43
facebook_combined, base_model, 4039, 88234, 17, 250, NA, NA, 1.0, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, False, False, 52.4
CA-CondMat, base_model, 23133, 93439, 4, 250, NA, NA, 1.0, 46266, 0, 0, 13939.0, 13939.0, NA, NA, 0, 0, 0, False, False, False, False, False, 8.82
CA-HepPh, base_model, 12006, 118489, 4, 250, NA, NA, 1.0, 24012, 0, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, False, False, 5.72
Brightkite_edges, base_model, 58228, 214078, 2, 250, NA, NA, 1.0, 116456, 0, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, False, False, 17.52
socfb-Northeastern19, base_model, 13882, 381934, 33, 250, NA, NA, 7840.0, 27764, 0, 0, 7583.0, 7619.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3601.95
socfb-Syracuse56, base_model, 13653, 543982, 46, 250, NA, NA, 1343.0, 27306, 0, 0, 7642.0, 7773.0, NA, NA, 0, 0, 0, False, False, False, False, False, 3602.37
ca-citeseer, base_model, 227320, 814134, 3, 250, NA, NA, 1.0, 454640, 0, 0, 153765.0, 153765.0, NA, NA, 0, 0, 0, False, False, False, False, False, 138.43
Gowalla_edges, base_model, 196591, 950327, 3, 250, NA, NA, 1.0, 393182, 0, 0, 107299.0, 107299.0, NA, NA, 0, 0, 0, False, False, False, False, False, 105.43
com-dblp.ungraph, base_model, 317080, 1049866, 3, 250, NA, NA, 1.0, 634160, 0, 0, 204857.0, 204857.0, NA, NA, 0, 0, 0, False, False, False, False, False, 204.15
