instance_name, model_type, k, b, r, var_num, var_remaining, num_k_core_nodes, lower_bound, upper_bound, remove_y_edges_reduction, remove_y_edges_time, y_saturated_reduction, y_saturated_iterations, y_saturated_run_time, warm_start, additonal_facet_defining, y_val_fix, fractional_callback, total_time
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35270.0, NA, NA, 0, 0, 0, False, True, False, False, 53.292856216430664
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7586.0, 7618.0, NA, NA, 0, 0, 0, False, True, False, False, 3601.7584686279297
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7608.0, 7773.0, NA, NA, 0, 0, 0, False, True, False, False, 3602.1561064720154
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107297.0, 107304.0, NA, NA, 0, 0, 0, False, True, False, False, 74.3493869304657
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204842.0, 204862.0, NA, NA, 0, 0, 0, False, True, False, False, 93.65155386924744
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 79561.0, 79576.0, NA, NA, 0, 0, 0, False, True, False, False, 3623.2669055461884
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, True, False, 8.784863948822021
CA-CondMat, base_model, 4, 250, NA, 46266, 1570, 0, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, True, False, 7.374776124954224
CA-HepPh, base_model, 4, 250, NA, 24016, 739, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, True, False, 4.656954526901245
Brightkite_edges, base_model, 2, 250, NA, 116456, 724, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, True, False, 17.87591004371643
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 239, 0, 7584.0, 7629.0, NA, NA, 0, 0, 0, False, False, True, False, 3601.719164609909
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 205, 0, 7638.0, 7773.0, NA, NA, 0, 0, 0, False, False, True, False, 3602.2188155651093
Gowalla_edges, base_model, 3, 250, NA, 393182, 3904, 0, 107291.0, 107300.0, NA, NA, 0, 0, 0, False, False, True, False, 106.24993562698364
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 1845, 0, 204850.0, 204864.0, NA, NA, 0, 0, 0, False, False, True, False, 171.69753074645996
soc-catster.e, base_model, 21, 250, NA, 299400, 3297, 0, 79561.0, 79582.0, NA, NA, 0, 0, 0, False, False, True, False, 3627.9410808086395
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, NA, NA, 0, 0, 0, False, False, False, True, 6.638434171676636
CA-CondMat, base_model, 4, 250, NA, 46266, 0, 0, 13939.0, 13940.0, NA, NA, 0, 0, 0, False, False, False, True, 11.278992176055908
CA-HepPh, base_model, 4, 250, NA, 24016, 0, 0, 6978.0, 6978.0, NA, NA, 0, 0, 0, False, False, False, True, 3.4060356616973877
Brightkite_edges, base_model, 2, 250, NA, 116456, 0, 0, 35267.0, 35267.0, NA, NA, 0, 0, 0, False, False, False, True, 34.79354739189148
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 0, 0, 7579.0, 7647.0, NA, NA, 0, 0, 0, False, False, False, True, 3607.1382308006287
socfb-Syracuse56, base_model, 46, 250, NA, 27306, 0, 0, 7554.0, 7774.0, NA, NA, 0, 0, 0, False, False, False, True, 3610.5365331172943
Gowalla_edges, base_model, 3, 250, NA, 393182, 0, 0, 107289.0, 107299.0, NA, NA, 0, 0, 0, False, False, False, True, 125.23228669166565
com-dblp.ungraph, base_model, 3, 250, NA, 634160, 0, 0, 204850.0, 204864.0, NA, NA, 0, 0, 0, False, False, False, True, 114.61613154411316
soc-catster.e, base_model, 21, 250, NA, 299400, 0, 0, 79561.00000099457, 79567.0, NA, NA, 0, 0, 0, False, False, False, True, 834.8506503105164
facebook_combined, base_model, 17, 250, NA, 8078, 0, 0, 2533.0, 2533.0, 2307, 0.01446533203125, 0, 0, 0, True, True, True, True, 6.924688339233398
CA-CondMat, base_model, 4, 250, NA, 46266, 1570, 0, 13939.0, 13940.0, 2804, 0.04101872444152832, 0, 0, 0, True, True, True, True, 13.491913795471191
CA-HepPh, base_model, 4, 250, NA, 24016, 739, 0, 6978.0, 6978.0, 1282, 0.022732257843017578, 0, 0, 0, True, True, True, True, 5.4364519119262695
Brightkite_edges, base_model, 2, 250, NA, 116456, 724, 0, 35267.0, 35268.0, 362, 0.0791158676147461, 0, 0, 0, True, True, True, True, 1886.232254743576
socfb-Northeastern19, base_model, 33, 250, NA, 27764, 239, 0, 7580.0, 7646.0, 8719, 0.07613015174865723, 0, 0, 0, True, True, True, True, 3624.454929113388
