instance, k, b, olak, olak time, rcm, rcmtime, total_time
facebook_combined.txt, 20, 20, 1901, 1.86, 1894, 10.91, 
Brightkite_edges.txt, 20, 20, 961, 1608.05, 998, 21.93, 
