Instance, k, r, n, number fixed, fixing time
soc-dolphins, 3, 2, 62, 16, 0.013986825942993164
facebook_combined, 17, 3, 4039, 3932, 274.7402653694153
CA-HepPh, 4, 4, 12006, 7738, 1752.8097689151764
